CmteID,Cycle,PACShort,Affiliate,Ultorg,RecipID,RecipCode,FECCandID,Party,PrimCode,Source,Sensitive,Foreign,Active
C00012476,1994,Plumbers/Pipefitters Union,Plumbers/Pipefitters Union,Plumbers/Pipefitters Union,C00012476,PL,,,LB100,AFP/Phone,N,0,1
C00012484,1994,Florida Bankers Assn,American Bankers Assn,American Bankers Assn,C00012484,PB,,,F1100,Name,N,0,1
C00012518,1994,First Union Corp,First Union Corp,First Union Corp,C00012518,PB,,,F1100,S&P94,N,0,1
C00012880,1994,American Physical Therapy Assn,American Physical Therapy Assn,American Physical Therapy Assn,C00012880,PB,,,H1700,AFP88,N,0,1
C00012914,1994,American Land Title Assn,,American Land Title Assn,C00012914,PB,,,F4300,AFP88,N,0,1
C00013342,1994,United Mine Workers of America,United Mine Workers of America,United Mine Workers of America,C00013342,PL,,,LE100,AFP88,N,0,1
C00013672,1994,Florida Dental Assn,American Dental Assn,American Dental Assn,C00013672,PB,,,H1400,Name,N,0,1
C00013961,1994,Sheet Metal/AC Contractors Assn,Sheet Metal/AC Contractors Assn,Sheet Metal/AC Contractors Assn,C00013961,PB,,,B3400,AFP88,N,0,1
C00013995,1994,Midwest Resources Inc,Midwest Resources Inc,Midwest Resources Inc,C00013995,PB,,,E1620,S&P94,N,0,1
C00014019,1994,American Cotton Shippers Assn,,American Cotton Shippers Assn,C00014019,PB,,,A1100,NTPA89,N,0,1
C00014555,1994,Food Marketing Institute,,Food Marketing Institute,C00014555,PB,,,G2400,AFP88,N,0,1
C00014878,1994,General Aviation Manufacturers Assn,,General Aviation Manufacturers Assn,C00014878,PB,,,T1200,NTPA89,N,0,1
C00015024,1994,Women's Campaign Fund,,Women's Campaign Fund,C00015024,PI,,,J7400,AFP88,Y,0,1
C00015552,1994,Texas Cattle Feeders Assn,National Cattlemen's Assn,National Cattlemen's Assn,C00015552,PB,,,A3300,WebEC,N,0,1
C00015933,1994,Arizona Public Service Co,,Pinnacle West Capital,C00015933,PB,,,E1600,S&P94,Y,0,1
C00016386,1994,American Bakers Assn,,American Bakers Assn,C00016386,PB,,,G2100,NTPA89,N,0,1
C00016444,1994,Kentucky Medical Assn,American Medical Assn,American Medical Assn,C00016444,PB,,,H1100,Name,N,0,1
C00016550,1994,Deposit Guaranty Corp,,Deposit Guaranty Corp,C00016550,PB,,,F1100,S&P94,N,0,1
C00016683,1994,Pfizer Inc,,Pfizer Inc,C00016683,PB,,,H4300,S&P94,Y,0,1
C00017244,1994,Marine Fireman's Union,Seafarers International Union,Seafarers International Union,C00017244,PL,,,LT500,AFP88,N,0,1
C00017343,1994,Oregon Education Assn,National Education Assn,National Education Assn,C00017343,PL,,,L1300,AFP88,N,0,1
C00017525,1994,American Nurses Assn,American Nurses Assn,American Nurses Assn,C00017525,PB,,,H1710,AFP88,Y,0,1
C00017558,1994,Mellon Bank,Mellon Bank Corp,Mellon Bank Corp,C00017558,PB,,,F1100,S&P94,N,0,1
C00017681,1994,Alexander & Baldwin,Alexander & Baldwin,Alexander & Baldwin,C00017681,PB,,,T6200,S&P94,Y,0,1
C00018028,1994,Printing Industries of America,,Printing Industries of America,C00018028,PB,,,C1300,AFP88,N,0,1
C00018036,1994,First Bank System/Minnesota,First Bank System,First Bank System,C00018036,PB,,,F1100,SIC,N,0,1
C00018135,1994,Democratic Candidate Fund,,Democratic Candidate Fund,C00018135,PI,,,J1200,LM,N,0,1
C00018176,1994,Dairymen Inc-Virginia,Dairymen Inc,Dairymen Inc,C00018176,PB,,,A2000,AFP88,N,0,1
C00018184,1994,Dairymen Inc-Kentucky,Dairymen Inc,Dairymen Inc,C00018184,PB,,,A2000,AFP88,N,0,1
C00018192,1994,Dairymen Inc-Louisiana,Dairymen Inc,Dairymen Inc,C00018192,PB,,,A2000,AFP88,N,0,1
C00018200,1994,Dairymen Inc-Mississippi,Dairymen Inc,Dairymen Inc,C00018200,PB,,,A2000,AFP88,N,0,1
C00018366,1994,First Bank System/North Dakota,First Bank System,First Bank System,C00018366,PB,,,F1100,S&P96,N,0,1
C00018945,1994,Dorsey & Whitney,,Dorsey & Whitney,C00018945,PB,,,K1000,MartHubb,N,0,1
C00019083,1994,California Canning Peach Assn,,California Canning Peach Assn,C00019083,PB,,,A1400,Name,N,0,1
C00019349,1994,First Bank System/South Dakota,First Bank System,First Bank System,C00019349,PB,,,F1100,RandMc,N,0,1
C00019372,1994,Kaibab Industries,,Kaibab Industries,C00019372,PB,,,A5000,S&P94,Y,0,1
C00019448,1994,Banc One Indiana,Banc One Corp,Banc One Corp,C00019448,PB,,,F1000,Name,N,0,1
C00019653,1994,Southern California Edison,,SCEcorp,C00019653,PB,,,E1600,S&P94,Y,0,1
C00019976,1994,Free Congress PAC,,Free Congress PAC,C00019976,PI,,,J1100,AFP88,N,0,1
C00020206,1994,Association of American Publishers,,Association of American Publishers,C00020206,PB,,,C1100,NTPA89,N,0,1
C00021089,1994,Dairymen Inc-Tennessee,Dairymen Inc,Dairymen Inc,C00021089,PB,,,A2000,AFP88,N,0,1
C00021121,1994,New York State United Teachers,American Federation of Teachers,American Federation of Teachers,C00021121,PL,,,L1300,AFP88,N,0,1
C00021295,1994,Bracewell & Patterson,,Bracewell & Patterson,C00021295,PB,,,K1000,Duns,N,0,1
C00021782,1994,Taxpayers Action Fund,,Taxpayers Action Fund,C00021782,PU,, ,Y0000,NoWeb,N,0,1
C00021972,1994,Pharmaceutical Manufacturers Assn,,Pharmaceutical Manufacturers Assn,C00021972,PB,,,H4300,NTPA89,N,0,1
C00022178,1994,American Group Practice Assn,,American Group Practice Assn,C00022178,PB,,,H1100,Phone,N,0,1
C00022343,1994,Independent Insurance Agents of America,,Independent Insurance Agents of America,C00022343,PB,,,F3100,AFP88,N,0,1
C00022368,1994,National Assn of Chain Drug Stores,,National Assn of Chain Drug Stores,C00022368,PB,,,G4900,AFP88,Y,0,1
C00022756,1994,Darigold,,Northwest Dairy Assn,C00022756,PB,,,A2000,Hvr03,N,0,1
C00022988,1994,American Assn of Nurserymen,,American Assn of Nurserymen,C00022988,PB,,,A8000,NTPA89,N,0,1
C00022996,1994,Quaker Oats,,Quaker Oats,C00022996,PB,,,G2100,S&P94,N,0,1
C00023028,1994,National Cotton Council,National Cotton Council,National Cotton Council,C00023028,PB,,,A1100,AFP88,N,0,1
C00023580,1994,National Assn of Letter Carriers,National Assn of Letter Carriers,National Assn of Letter Carriers,C00023580,PL,,,L1500,AFP88,N,0,1
C00024281,1994,American Meat Institute,,American Meat Institute,C00024281,PB,,,G2300,AFP/Phone,Y,0,1
C00024299,1994,American General Corp,American General Corp,American General Corp,C00024299,PB,,,F3100,S&P94,Y,0,1
C00024349,1994,Alaska Airlines,,Alaska Airlines,C00024349,PB,,,T1100,S&P94,N,0,1
C00024422,1994,Operating Engineers Local 3,Operating Engineers Union,Operating Engineers Union,C00024422,PL,,,LB100,Phone,N,0,1
C00024521,1994,Association of Trial Lawyers of America,Association of Trial Lawyers of America,Association of Trial Lawyers of America,C00024521,PB,,,K1100,AFP88,N,0,1
C00024687,1994,National Conservative PAC,,National Conservative PAC,C00024687,PI,,,J1100,AFP88,N,0,1
C00024703,1994,Deere & Co/Illinois,Deere & Co,Deere & Co,C00024703,PB,,,A4200,S&P94,Y,0,1
C00024752,1994,Matson Navigation,Alexander & Baldwin,Alexander & Baldwin,C00024752,PB,,,T6200,S&P94,N,0,1
C00024869,1994,General Electric,General Electric,General Electric,C00024869,PB,,,T1300,S&P94,Y,0,1
C00024935,1994,Northern Trust,,Northern Trust,C00024935,PB,,,F2100,WebDW,N,0,1
C00024968,1994,American Optometric Assn,American Optometric Assn,American Optometric Assn,C00024968,PB,,,H1120,AFP88,N,0,1
C00025023,1994,NL Industries,Contran Corp,Contran Corp,C00025023,PB,,,M1000,Hvr03,Y,0,1
C00025098,1994,Springs Industries,,Springs Industries,C00025098,PB,,,M8000,S&P94,N,0,1
C00025163,1994,GTE Corp,GTE Corp,GTE Corp,C00025163,PB,,,C4100,S&P94,Y,0,1
C00025205,1994,Coltec Industries,,Coltec Industries,C00025205,PB,,,T1300,S&P/Phone,Y,0,1
C00025346,1994,Sun Co,,Sun Co,C00025346,PB,,,E1160,S&P94,Y,0,1
